Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017
"Coweta County","Coweta County, Georgia","1141905439","12754711","050","00","3","5","13077","13","077",127317,127317,62242,65075,127317,9283,9748,9886,5915,9670,16228,19940,19102,14305,8215,3789,1236,127317,118824,92604,21744,284,1895,54,182,2061,8493,3990,285,92,39,14,3494,579
"Crawford County","Crawford County, Georgia","841456435","4054558","050","00","3","5","13079","13","079",12630,12630,6381,6249,12630,728,771,831,538,1056,1327,1750,2191,1776,1079,477,106,12630,12329,9282,2806,52,32,2,7,148,301,146,12,6,1,6,120,10
"Crisp County","Crisp County, Georgia","705987965","21672328","050","00","3","5","13081","13","081",23439,23439,11221,12218,23439,1696,1679,1676,1071,2016,2739,2836,3289,3164,1760,1084,429,23439,22691,12216,10033,24,183,6,15,214,748,271,46,8,0,5,405,13
"Dade County","Dade County, Georgia","450609395","463485","050","00","3","5","13083","13","083",16633,16633,8192,8441,16633,912,949,1024,701,2095,1835,2033,2497,2190,1409,761,227,16633,16341,15796,142,65,114,5,24,195,292,177,3,9,4,4,72,23
"Dawson County","Dawson County, Georgia","546046104","9269206","050","00","3","5","13085","13","085",22330,22330,11164,11166,22330,1275,1445,1509,854,1850,2576,3026,3417,3246,2138,825,169,22330,21410,20847,97,73,124,8,13,248,920,504,8,9,2,1,341,55
"Decatur County","Decatur County, Georgia","1546584607","67412720","050","00","3","5","13087","13","087",27842,27842,13605,14237,27842,1867,1931,2057,1227,2592,3351,3544,4063,3331,2146,1291,442,27842,26438,14615,11366,57,138,3,33,226,1404,481,72,60,6,3,670,112
"DeKalb County","DeKalb County, Georgia","693033963","9220158","050","00","3","5","13089","13","089",691893,691893,331355,360538,691893,50407,45290,42797,26642,69700,118649,107145,96245,72790,35465,19067,7696,691893,624069,203395,370963,1239,35173,245,1644,11410,67824,26761,4762,1240,253,97,29609,5102
"Dodge County","Dodge County, Georgia","1284348917","18709412","050","00","3","5","13091","13","091",21796,21796,11449,10347,21796,1355,1308,1339,1075,2232,2632,3048,3171,2621,1767,950,298,21796,21064,14273,6451,39,101,3,11,186,732,276,53,16,0,11,347,29
"Dooly County","Dooly County, Georgia","1015120132","13841107","050","00","3","5","13093","13","093",14918,14918,8053,6865,14918,857,882,884,536,1242,2087,2053,2270,2052,1237,603,215,14918,14056,6461,7381,16,93,3,6,96,862,349,61,0,3,0,409,40
"Dougherty County","Dougherty County, Georgia","851299438","15395037","050","00","3","5","13095","13","095",94565,94565,43927,50638,94565,7150,6711,6580,3893,12374,12510,10789,12129,10972,6177,3866,1414,94565,92492,27315,63198,177,719,52,84,947,2073,671,272,32,17,68,837,176
"Douglas County","Douglas County, Georgia","518170971","2484238","050","00","3","5","13097","13","097",132403,132403,63772,68631,132403,9732,10357,10864,6580,11136,17505,21998,19456,13531,7241,3004,999,132403,121278,64911,51387,321,1876,128,327,2328,11125,4547,903,78,28,9,4731,829
"Early County","Early County, Georgia","1327612162","9717191","050","00","3","5","13099","13","099",11008,11008,5191,5817,11008,717,809,824,551,908,1165,1319,1550,1374,999,581,211,11008,10837,5250,5441,34,37,2,5,68,171,74,21,5,0,0,55,16
"Echols County","Echols County, Georgia","1074571687","15087403","050","00","3","5","13101","13","101",4034,4034,2040,1994,4034,358,332,279,214,404,634,550,492,373,228,141,29,4034,2851,2555,163,55,12,1,9,56,1183,468,8,17,1,1,630,58
"Effingham County","Effingham County, Georgia","1237236175","13547899","050","00","3","5","13103","13","103",52250,52250,26017,26233,52250,3668,4153,4406,2679,4364,6761,7905,8054,5497,3061,1313,389,52250,50749,42311,6982,135,425,16,66,814,1501,871,66,21,2,10,365,166
"Elbert County","Elbert County, Georgia","909228765","59986806","050","00","3","5","13105","13","105",20166,20166,9656,10510,20166,1311,1226,1330,832,1745,2225,2477,2934,2696,1848,1130,412,20166,19199,12956,5906,37,121,5,15,159,967,341,44,12,0,0,525,45
"Emanuel County","Emanuel County, Georgia","1762755669","24806585","050","00","3","5","13107","13","107",22598,22598,11038,11560,22598,1656,1570,1564,958,2089,2964,2701,3155,2779,1821,978,363,22598,21677,13733,7541,46,154,3,33,167,921,195,21,12,0,0,648,45
"Evans County","Evans County, Georgia","473586453","10403527","050","00","3","5","13109","13","109",11000,11000,5387,5613,11000,847,857,700,433,1053,1489,1417,1492,1207,844,496,165,11000,9559,6228,3165,9,60,0,5,92,1441,243,40,10,14,17,1092,25
"Fannin County","Fannin County, Georgia","1001608266","13564152","050","00","3","5","13111","13","111",23682,23682,11547,12135,23682,1131,1272,1333,795,1506,2074,2591,3679,4104,3067,1634,496,23682,23251,22761,75,68,72,6,17,252,431,246,8,3,5,0,139,30
"Fayette County","Fayette County, Georgia","503344101","12896707","050","00","3","5","13113","13","113",106567,106567,51505,55062,106567,4913,7455,9371,6360,7292,7991,14475,19872,15293,8044,3920,1581,106567,99807,72202,21117,221,4106,61,221,1879,6760,3600,278,95,24,14,2240,509
"Floyd County","Floyd County, Georgia","1320662374","22156077","050","00","3","5","13115","13","115",96317,96317,46640,49677,96317,6521,6559,6467,3898,9939,11701,12558,13431,11541,7439,4538,1725,96317,87330,70959,13494,194,1225,56,108,1294,8987,3096,146,150,28,60,5002,505
"Forsyth County","Forsyth County, Georgia","580210822","59946531","050","00","3","5","13117","13","117",175511,175511,87194,88317,175511,13593,16640,15465,7707,9856,19264,32802,27437,17109,9939,4342,1357,175511,158961,140943,4287,362,10875,54,316,2124,16550,9003,223,213,50,12,6297,752
"Franklin County","Franklin County, Georgia","677273046","12832270","050","00","3","5","13119","13","119",22084,22084,10911,11173,22084,1291,1379,1416,870,2109,2407,2772,3195,2916,2141,1174,414,22084,21218,18913,1821,29,121,4,25,305,866,367,29,13,0,0,384,73
"Fulton County","Fulton County, Georgia","1363977166","19917366","050","00","3","5","13121","13","121",920581,920581,448267,472314,920581,62581,61510,59877,35718,98241,153601,142271,129027,94331,47108,24745,11571,920581,848015,376014,400457,1586,51304,287,2582,15785,72566,33683,5118,673,265,48,28285,4494
"Gilmer County","Gilmer County, Georgia","1104733530","12189698","050","00","3","5","13123","13","123",28292,28292,14146,14146,28292,1670,1680,1784,1095,1988,3015,3501,4174,4370,3228,1400,387,28292,25615,25078,98,72,65,15,18,269,2677,1037,37,22,9,24,1446,102
"Glascock County","Glascock County, Georgia","372283969","1847855","050","00","3","5","13125","13","125",3082,3082,1487,1595,3082,199,220,248,146,218,354,399,464,369,240,157,68,3082,3049,2750,251,7,1,0,5,35,33,17,2,0,0,0,14,0
"Glynn County","Glynn County, Georgia","1087155362","428629840","050","00","3","5","13127","13","127",79626,79626,37855,41771,79626,5352,5348,5282,3249,6807,9493,9945,11639,10535,6899,3676,1401,79626,74500,51602,20525,146,894,74,107,1152,5126,2221,201,86,27,21,2292,278
"Gordon County","Gordon County, Georgia","921538864","5787657","050","00","3","5","13129","13","129",55186,55186,27283,27903,55186,4110,4142,4060,2563,4845,7104,8005,7752,6182,3934,1914,575,55186,47448,44107,1945,130,522,49,44,651,7738,2925,60,72,18,22,4208,433
"Grady County","Grady County, Georgia","1177219063","14859042","050","00","3","5","13131","13","131",25011,25011,12115,12896,25011,1890,1785,1704,1048,2127,3155,3154,3556,3056,2064,1088,384,25011,22511,14879,7129,135,94,10,31,233,2500,837,47,47,12,11,1386,160
